probe_id	probeset_id
240111	23088120
173417	23088120
160056	23088504
104814	23088504
197694	23088504
15769	23088504
217302	23088504
237391	23088504
158005	23088504
156569	23088504
153139	23088504
274859	23088504
184273	23088546
87521	23088546
157443	23088546
96932	23088546
184757	23088546
8264	23088546
188513	23088546
31937	23088546
247121	23088546
26509	23088546
199665	23088613
115839	23088613
46109	23088613
97696	23088613
162988	23088613
91432	23088613
20163	23088613
236008	23088613
261519	23088613
136639	23088613
84825	23088633
202648	23088633
32441	23088633
191411	23088633
233945	23088633
289912	23088633
41873	23088633
8907	23088633
15144	23088633
235644	23088633
115408	23088670
298914	23088670
269599	23088670
148786	23088670
290063	23088670
280031	23088670
208196	23088670
274226	23088670
269928	23088670
150169	23088670
166609	23089002
297477	23089002
130323	23089002
140797	23089002
186581	23089002
202442	23089002
275623	23089002
215558	23089002
117876	23089002
25060	23089002
293413	23089349
201373	23089349
170471	23089349
137693	23089349
259773	23089349
208552	23089349
116047	23089349
172728	23089349
191251	23089349
280737	23089349
81564	23089367
153337	23089367
88042	23089367
107773	23089367
292422	23089367
141061	23089367
73640	23089367
5017	23089367
209145	23089367
269878	23089367
78823	23089483
84362	23089483
72447	23089483
135484	23089483
241812	23089483
88384	23089483
247728	23089483
213337	23089483
142958	23089483
238075	23089483
257683	23089526
79364	23089526
173927	23089526
277732	23089526
217718	23089526
35898	23089526
19279	23089526
210	23089526
273273	23089526
110471	23089526
240705	23089723
214532	23089723
291587	23089723
131745	23089723
74684	23089723
231927	23089723
151505	23089723
284151	23089723
285016	23089723
226580	23089723
135743	23090189
20269	23090189
154877	23090189
45902	23090189
95129	23090189
66945	23090189
184975	23090189
287031	23090189
94776	23090189
39803	23090189
234261	23090191
10599	23090191
256108	23090191
87339	23090191
223778	23090191
65071	23090191
137867	23090191
200194	23090191
122683	23090191
53086	23090191
132559	23090201
96990	23090201
30712	23090201
161339	23090201
69630	23090201
167146	23090201
153208	23090201
58091	23090201
146890	23090201
99194	23090201
21399	23090202
105177	23090202
100132	23090202
3741	23090202
20736	23090202
54612	23090202
263444	23090202
67768	23090202
20927	23090202
180381	23090202
101189	23090689
7820	23090689
19240	23090689
161535	23090689
189228	23090689
13947	23090689
228993	23090689
17743	23090689
248226	23090689
54475	23090689
283023	23090690
67993	23090690
2238	23090690
43938	23090690
33873	23090690
172909	23090690
82025	23090690
4662	23090690
256585	23090690
238207	23090690
126921	23090886
78426	23090886
237406	23090886
168728	23090886
272333	23090886
116529	23090886
129291	23090886
83641	23090886
238469	23090886
296409	23090886
224371	23091088
282445	23091088
87938	23091088
27318	23091088
135940	23091088
140973	23091088
265616	23091088
67506	23091088
193497	23091088
259181	23091088
51981	23091166
288217	23091166
50940	23091166
246468	23091166
174108	23091166
267344	23091166
